"$\alpha$";"$\beta$";"$\epsilon_e$";"$\epsilon_c$";"$d_{p}$";"$\Gamma_{p}(0)$";"$a_v$";"$\tau_c(250.0, 8, BF)$";"$\tau_c(500.0, 8, BF)$";"$\tau_c(750.0, 8, BF)$";"$\tau_c(1000.0, 8, BF)$";"$\tau_c(1250.0, 8, BF)$";"$\tau_c(1500.0, 8, BF)$";"$\tau_c(1750.0, 8, BF)$";"$\tau_c(2000.0, 8, BF)$";"$\tau_c(2250.0, 8, BF)$";"$\tau_c(2500.0, 8, BF)$";"$\tau_c(2750.0, 8, BF)$";"$\tau_c(3000.0, 8, BF)$";"$\tau_c(3250.0, 8, BF)$";"$\tau_c(3500.0, 8, BF)$";"$\tau_c(3750.0, 8, BF)$";"$\tau_c(4000.0, 8, BF)$";"$\tau_c(4250.0, 8, BF)$";"$\tau_c(4500.0, 8, BF)$";"$\tau_c(4750.0, 8, BF)$";"$\tau_c(5000.0, 8, BF)$";"$\tau_c(5250.0, 8, BF)$";"$\tau_c(5500.0, 8, BF)$";"$\tau_c(5750.0, 8, BF)$";"$\tau_c(6000.0, 8, BF)$";"$\tau_c(6250.0, 8, BF)$";"$\tau_c(6283.0, 8, BF)$";"$\tau_c(6293.0, 8, BF)$";"$\tau_c(6533.0, 8, BF)$";"$\tau_c(6716.0, 8, BF)$";"$\tau_c(6966.0, 8, BF)$";"$\tau_c(7216.0, 8, BF)$";"$\tau_c(7466.0, 8, BF)$";"$\tau_c(7716.0, 8, BF)$";"$\tau_c(7966.0, 8, BF)$";"$\tau_c(8216.0, 8, BF)$";"$\tau_c(8466.0, 8, BF)$";"$\tau_c(8716.0, 8, BF)$";"$\tau_c(8760.0, 8, BF)$";"$\tau_c(9010.0, 8, BF)$";"$\tau_c(9247.0, 8, BF)$";"$\tau_c(9257.0, 8, BF)$";"$\tau_c(9497.0, 8, BF)$";"$\tau_c(9747.0, 8, BF)$";"$\tau_c(9997.0, 8, BF)$";"$\tau_c(10247.0, 8, BF)$";"$\tau_c(10497.0, 8, BF)$";"$\tau_c(10747.0, 8, BF)$";"$\tau_c(10997.0, 8, BF)$";"$\tau_c(11247.0, 8, BF)$";"$\tau_c(11497.0, 8, BF)$";"$\tau_c(11747.0, 8, BF)$";"$\tau_c(11997.0, 8, BF)$";"$\tau_c(12247.0, 8, BF)$";"$\tau_c(12497.0, 8, BF)$";"$\tau_c(12747.0, 8, BF)$";"$\tau_c(12997.0, 8, BF)$";"$\tau_c(13247.0, 8, BF)$";"$\tau_c(13497.0, 8, BF)$";"$\tau_c(13747.0, 8, BF)$";"$\tau_c(13997.0, 8, BF)$";"$\tau_c(14247.0, 8, BF)$";"$\tau_c(14497.0, 8, BF)$";"$\tau_c(14747.0, 8, BF)$";"$\tau_c(14997.0, 8, BF)$";"$\tau_c(15247.0, 8, BF)$";"$\tau_c(15497.0, 8, BF)$";"$\tau_c(15747.0, 8, BF)$";"$\tau_c(15997.0, 8, BF)$";"$\tau_c(16247.0, 8, BF)$";"$\tau_c(16497.0, 8, BF)$";"$\tau_c(16747.0, 8, BF)$";"$\tau_c(16997.0, 8, BF)$";"$\tau_c(17247.0, 8, BF)$";"$\tau_c(17497.0, 8, BF)$";"$\tau_c(17520.0, 8, BF)$"
9.7977557338998309e+01;2.3985838787092643e-02;2.5298033275291337e-01;1.3356960235476711e-01;5.3232493226973378e-06;4.9668325119504043e-09;6.4628924911930426e-04;1.7222770000000001e+00;3.5226910000000000e+00;5.2266190000000003e+00;6.8925630000000000e+00;8.5634639999999997e+00;1.0247140999999999e+01;1.1920000999999999e+01;1.3554243000000000e+01;1.5141586999999999e+01;1.7154601000000000e+01;1.9123083000000001e+01;2.1049133000000001e+01;2.2934011999999999e+01;2.4780197999999999e+01;2.6588570000000001e+01;2.8358142000000001e+01;3.0088671000000001e+01;3.1781316000000000e+01;3.3437187000000002e+01;3.5056821999999997e+01;3.6640650000000001e+01;3.8189197999999998e+01;4.0381411000000000e+01;4.2516170000000002e+01;4.4580689000000000e+01;4.4825642999999999e+01;8.9522189999999995e+00;1.0538707000000000e+01;1.1733741000000000e+01;1.3589540000000000e+01;1.5416675000000000e+01;1.7215637999999998e+01;1.9344394999999999e+01;2.1428636000000001e+01;2.3466106000000000e+01;2.5454172000000000e+01;2.7395022999999998e+01;2.7721955000000001e+01;2.9249191000000000e+01;3.0672958999999999e+01;1.6852380000000000e+01;1.8448793999999999e+01;2.0106435999999999e+01;2.1736851000000001e+01;2.3340506999999999e+01;2.4916886000000002e+01;2.6466094999999999e+01;2.7988592000000001e+01;2.9484494000000002e+01;3.0953901999999999e+01;3.2397159000000002e+01;3.3814673999999997e+01;3.5206691999999997e+01;3.6573369999999997e+01;3.7914938999999997e+01;3.9896996000000001e+01;4.1824519000000002e+01;4.3693370000000002e+01;4.5497745999999999e+01;4.7242221999999998e+01;4.8933675999999998e+01;5.0573909000000000e+01;5.2162080000000003e+01;5.3698732000000000e+01;5.5185811000000001e+01;5.6625045999999998e+01;5.8017673000000002e+01;5.9364986000000002e+01;6.0668481999999997e+01;6.1929549000000002e+01;6.3149312999999999e+01;6.4328871000000007e+01;6.5469453999999999e+01;6.6572348000000005e+01;6.6658437000000006e+01
9.9802086116401284e+01;2.3143744264630638e-02;2.6213649382307586e-01;5.6905625823177292e-02;6.4529923599575832e-06;4.0788524310036680e-09;6.5065236841203400e-04;1.2106010000000000e+00;2.4891420000000002e+00;3.7070150000000002e+00;4.9002470000000002e+00;6.0972080000000002e+00;7.3042470000000002e+00;8.5079170000000008e+00;9.6913309999999999e+00;1.0848438000000000e+01;1.1984795000000000e+01;1.3109120000000001e+01;1.4225773999999999e+01;1.5333348000000001e+01;1.6717155000000002e+01;1.8083967000000001e+01;1.9430243000000001e+01;2.0753070000000001e+01;2.2053805000000001e+01;2.3335571000000002e+01;2.4599636000000000e+01;2.5845663999999999e+01;2.7073153000000001e+01;2.8281852000000001e+01;2.9471882000000001e+01;3.0643774000000001e+01;3.0790157000000001e+01;7.0365200000000003e+00;8.2014960000000006e+00;9.0804290000000005e+00;1.0496931999999999e+01;1.1895230000000000e+01;1.3276457000000001e+01;1.4639668000000000e+01;1.5983848000000000e+01;1.7530812000000001e+01;1.9054838000000000e+01;2.0554307999999999e+01;2.0810531999999998e+01;2.1929746000000002e+01;2.2980433000000001e+01;1.2303470000000001e+01;1.3383103999999999e+01;1.4495087000000000e+01;1.5594468000000001e+01;1.6681778000000001e+01;1.7792083999999999e+01;1.8890601000000000e+01;1.9977941999999999e+01;2.1053329000000002e+01;2.2116830000000000e+01;2.3168555000000001e+01;2.4208409000000000e+01;2.5236630999999999e+01;2.6253630999999999e+01;2.7259575999999999e+01;2.8254380999999999e+01;2.9237988000000001e+01;3.0210505999999999e+01;3.1172124000000000e+01;3.2123010000000001e+01;3.3063326000000004e+01;3.3993203000000001e+01;3.4912714000000001e+01;3.5821905999999998e+01;3.6720829999999999e+01;3.7609543000000002e+01;3.8488095000000001e+01;3.9822904999999999e+01;4.1131033000000002e+01;4.2413052000000000e+01;4.3665131000000002e+01;4.4886574000000003e+01;4.6080800000000004e+01;4.7250452000000003e+01;4.7348348000000001e+01
1.0274891442154939e+02;2.2990633834697509e-02;2.3778548753959625e-01;2.3919907260608289e-01;2.0437892954162841e-06;4.4979754767491636e-09;6.0460402579381230e-04;1.5745579999999999e+00;3.2078739999999999e+00;4.6885469999999998e+00;6.1542380000000003e+00;7.6106650000000000e+00;9.0563179999999992e+00;1.0484607000000000e+01;1.1889899000000000e+01;1.3272143000000000e+01;1.4843810000000000e+01;1.6395667000000000e+01;1.7927233999999999e+01;1.9435431999999999e+01;2.0918303000000002e+01;2.2375713999999999e+01;2.3808717000000001e+01;2.5218927999999998e+01;2.6607520000000001e+01;2.7974592999999999e+01;2.9319573999999999e+01;3.0642198000000000e+01;3.1942916000000000e+01;3.3222464000000002e+01;3.4481350999999997e+01;3.5719777000000001e+01;3.5874172000000002e+01;7.2534570000000000e+00;8.6969779999999997e+00;9.7827269999999995e+00;1.1534948000000000e+01;1.3257764999999999e+01;1.4952880000000000e+01;1.6755953000000002e+01;1.8529890000000002e+01;2.0273323999999999e+01;2.1983923000000001e+01;2.3661245000000001e+01;2.3947552000000002e+01;2.5114754999999999e+01;2.6207868999999999e+01;1.4138254000000000e+01;1.5336791000000000e+01;1.6570480000000000e+01;1.7815830999999999e+01;1.9047339999999998e+01;2.0264932999999999e+01;2.1467870000000001e+01;2.2655913000000002e+01;2.3829201000000001e+01;2.4987822000000001e+01;2.6131948000000001e+01;2.7261899000000000e+01;2.8377882000000000e+01;2.9479866999999999e+01;3.0567798000000000e+01;3.1641780000000001e+01;3.2702016999999998e+01;3.3748679000000003e+01;3.4781869999999998e+01;3.5801679000000000e+01;3.6808208999999998e+01;3.8004936000000001e+01;3.9196129999999997e+01;4.0367795999999998e+01;4.1513750000000002e+01;4.2644019999999998e+01;4.3755526000000003e+01;4.4847411999999998e+01;4.5921601000000003e+01;4.6979109000000001e+01;4.8019018000000003e+01;4.9040613999999998e+01;5.0044542000000000e+01;5.1031782999999997e+01;5.1112273000000002e+01
1.0202548841071733e+02;2.3300252873453525e-02;3.1541859210811485e-01;2.4910325569203647e-02;2.6254442585264425e-06;2.7394177533602866e-09;2.6574464558189892e-04;7.6406200000000002e-01;1.5741300000000000e+00;2.3932890000000002e+00;3.2066750000000002e+00;4.0071320000000004e+00;4.8000100000000003e+00;5.5898240000000001e+00;6.3772000000000002e+00;7.1599919999999999e+00;7.9358670000000000e+00;8.7040100000000002e+00;9.4652100000000008e+00;1.0220796000000000e+01;1.0971484999999999e+01;1.1717053000000000e+01;1.2456847000000000e+01;1.3190460000000000e+01;1.3917966000000000e+01;1.4749782000000000e+01;1.5575004000000000e+01;1.6393429000000001e+01;1.7204355000000000e+01;1.8007563000000001e+01;1.8803166000000001e+01;1.9591307000000000e+01;1.9693279000000000e+01;5.5945470000000004e+00;6.3847480000000001e+00;6.9823659999999999e+00;8.0247320000000002e+00;9.0561509999999998e+00;1.0077183000000000e+01;1.1087948000000001e+01;1.2088367999999999e+01;1.3078265000000000e+01;1.4057513000000000e+01;1.5026198000000001e+01;1.5194502000000000e+01;1.5771017000000001e+01;1.6314568000000001e+01;8.5528960000000005e+00;9.1534929999999992e+00;9.7777130000000003e+00;1.0398203000000001e+01;1.1014847000000000e+01;1.1627583000000000e+01;1.2236412000000000e+01;1.2841379000000000e+01;1.3442558000000000e+01;1.4040025999999999e+01;1.4633817000000001e+01;1.5223920000000000e+01;1.5810326999999999e+01;1.6393059999999998e+01;1.6972162000000001e+01;1.7547670000000000e+01;1.8119609000000001e+01;1.8687992999999999e+01;1.9252838000000001e+01;1.9814163000000001e+01;2.0371994000000001e+01;2.0926359000000001e+01;2.1477287000000000e+01;2.2024802999999999e+01;2.2568926000000001e+01;2.3109673000000001e+01;2.3647061000000001e+01;2.4181108999999999e+01;2.4711834000000000e+01;2.5315898000000001e+01;2.5937017000000001e+01;2.6566371000000000e+01;2.7190964000000001e+01;2.7810473999999999e+01;2.7864977000000000e+01
1.0532641037960119e+02;2.3058251899593842e-02;2.3047213350490892e-01;9.6263297838231038e-02;7.4974551896555567e-06;5.7140018249738976e-09;5.8920355709478898e-04;1.3395770000000000e+00;2.8130130000000002e+00;4.2313809999999998e+00;5.5989290000000000e+00;6.9382960000000002e+00;8.2682029999999997e+00;9.5936850000000007e+00;1.0907216999999999e+01;1.2198850000000000e+01;1.3464846000000000e+01;1.4708280000000000e+01;1.5934385000000001e+01;1.7146194000000001e+01;1.8343433999999998e+01;1.9845624999999998e+01;2.1332443999999999e+01;2.2797059000000001e+01;2.4233149999999998e+01;2.5641251000000000e+01;2.7026198999999998e+01;2.8390747999999999e+01;2.9734928000000000e+01;3.1057974000000002e+01;3.2359273999999999e+01;3.3638742000000001e+01;3.3797584999999998e+01;7.6414780000000002e+00;8.8835259999999998e+00;9.8184590000000007e+00;1.1329119000000000e+01;1.2820040000000001e+01;1.4294363000000001e+01;1.5750888000000000e+01;1.7187166999999999e+01;1.8602321000000000e+01;2.0292729000000001e+01;2.1961127000000001e+01;2.2246206000000001e+01;2.3506945000000002e+01;2.4685479000000001e+01;1.3235458000000000e+01;1.4335972999999999e+01;1.5469196999999999e+01;1.6590458999999999e+01;1.7701976999999999e+01;1.8841322000000002e+01;1.9972211000000001e+01;2.1093736000000000e+01;2.2205710000000000e+01;2.3308385000000001e+01;2.4401835999999999e+01;2.5486027000000000e+01;2.6560983000000000e+01;2.7626698000000001e+01;2.8683077999999998e+01;2.9729991999999999e+01;3.0767337000000001e+01;3.1795033000000000e+01;3.2813000000000002e+01;3.3821145000000001e+01;3.4819384999999997e+01;3.5807651000000000e+01;3.6785888000000000e+01;3.7754047999999997e+01;3.8712088000000001e+01;3.9659972000000003e+01;4.1201279000000000e+01;4.2724153999999999e+01;4.4219047000000003e+01;4.5672640000000001e+01;4.7083475000000000e+01;4.8460065000000000e+01;4.9807577000000002e+01;5.1125976000000001e+01;5.1233351999999996e+01
1.0704546984728395e+02;2.3402088406588993e-02;3.2533982229042058e-01;8.7364012469463209e-02;6.3054883359882771e-06;5.1717010954710445e-09;9.1140171054089397e-04;1.9540470000000001e+00;4.0038879999999999e+00;5.9429749999999997e+00;7.8335439999999998e+00;9.7240409999999997e+00;1.1624999000000001e+01;1.3513178000000000e+01;1.5359780000000001e+01;1.7665689000000000e+01;1.9922561000000002e+01;2.2127185000000001e+01;2.4279478999999998e+01;2.6384454999999999e+01;2.8446747999999999e+01;3.0466438000000000e+01;3.2441822999999999e+01;3.4372501999999997e+01;3.6259250999999999e+01;3.8103188000000003e+01;4.0810462000000001e+01;4.3424326999999998e+01;4.5942400999999997e+01;4.8358570999999998e+01;5.0676327999999998e+01;5.2904425000000003e+01;5.3171503000000001e+01;1.0496159000000000e+01;1.2240814000000000e+01;1.3555013000000001e+01;1.5566546000000001e+01;1.7548352999999999e+01;1.9504780000000000e+01;2.1919892000000001e+01;2.4288014000000000e+01;2.6603888999999999e+01;2.8860619000000000e+01;3.1059743999999998e+01;3.1427420000000001e+01;3.3182505999999997e+01;3.4815035000000002e+01;1.9204775000000001e+01;2.1048506000000000e+01;2.2954595000000001e+01;2.4825975000000000e+01;2.6663319999999999e+01;2.8466559000000000e+01;3.0235818999999999e+01;3.1971240999999999e+01;3.3672930999999998e+01;3.5341225000000001e+01;3.6976596000000001e+01;3.8579534000000002e+01;4.0150371999999997e+01;4.1689349000000000e+01;4.3196793999999997e+01;4.4883986000000000e+01;4.6484706000000003e+01;4.8042434999999998e+01;4.9558947000000003e+01;5.1037219000000000e+01;5.2477958999999998e+01;5.3881289000000002e+01;5.5247999999999998e+01;5.6579397000000000e+01;5.7876564000000002e+01;5.9140255000000003e+01;6.0371240999999998e+01;6.1570433000000001e+01;6.2738734000000001e+01;6.3876928999999997e+01;6.4985738999999995e+01;6.6065916999999999e+01;6.7118238000000005e+01;6.8143445999999997e+01;6.8235669000000001e+01
1.0336906878401814e+02;2.2636331954853879e-02;3.1116996505473066e-01;5.1103207185144550e-02;4.6246048641455470e-06;5.3888243493186751e-09;7.4153134286919053e-04;1.9624820000000001e+00;4.0060989999999999e+00;5.9353300000000004e+00;7.8221189999999998e+00;9.7179090000000006e+00;1.1630998999999999e+01;1.3531655000000001e+01;1.5831184000000000e+01;1.8079964000000000e+01;2.0272697000000001e+01;2.2410876999999999e+01;2.4501550000000002e+01;2.6549931000000001e+01;2.8556138000000001e+01;3.0517716000000000e+01;3.2433143000000001e+01;3.4302911000000002e+01;3.6128715999999997e+01;3.7912218000000003e+01;3.9654366000000003e+01;4.1840594000000003e+01;4.3934949000000003e+01;4.5955747000000002e+01;4.7907238999999997e+01;4.9792447000000003e+01;5.0027107000000001e+01;1.0067921000000000e+01;1.1835910999999999e+01;1.3176845999999999e+01;1.5206592000000001e+01;1.7205075999999998e+01;1.9542847999999999e+01;2.1830368000000000e+01;2.4067670000000000e+01;2.6252718000000002e+01;2.8386900000000001e+01;3.0472529999999999e+01;3.0821287000000002e+01;3.2277469000000004e+01;3.3629488000000002e+01;1.8549316000000001e+01;2.0187698000000001e+01;2.1868860999999999e+01;2.3516728000000001e+01;2.5131743000000000e+01;2.6714324999999999e+01;2.8264880000000002e+01;2.9783916999999999e+01;3.1271979999999999e+01;3.2729669999999999e+01;3.4157505999999998e+01;3.5556058999999998e+01;3.6925918000000003e+01;3.8267674999999997e+01;3.9581865999999998e+01;4.0869010000000003e+01;4.2129662000000003e+01;4.3364370999999998e+01;4.4573670999999997e+01;4.5770513999999999e+01;4.6903860999999999e+01;4.8013869999999997e+01;4.9101394999999997e+01;5.0167892999999999e+01;5.1213562000000003e+01;5.2238315000000000e+01;5.3242460999999999e+01;5.4226655000000001e+01;5.5191423000000000e+01;5.6137075000000003e+01;5.7063920000000003e+01;5.7972357000000002e+01;5.8862803999999997e+01;5.9735613999999998e+01;5.9815038000000001e+01
9.6064177374820403e+01;2.3623589208913328e-02;2.7051261165953705e-01;1.3629289672192951e-01;5.3640695438167229e-06;5.2413322422141919e-09;7.8216625988373058e-04;1.9517310000000001e+00;3.9846680000000001e+00;5.9015599999999999e+00;7.7710549999999996e+00;9.6432819999999992e+00;1.1527191999999999e+01;1.3395300000000001e+01;1.5215484999999999e+01;1.7500900999999999e+01;1.9727495000000001e+01;2.1894656999999999e+01;2.4005413999999998e+01;2.6066137000000001e+01;2.8079961000000001e+01;3.0045413000000000e+01;3.1960747999999999e+01;3.3826442999999998e+01;3.5644084999999997e+01;3.7415173000000003e+01;3.9918512000000000e+01;4.2342739999999999e+01;4.4673321999999999e+01;4.6898767999999997e+01;4.9030647000000002e+01;5.1079509999999999e+01;5.1318958000000002e+01;1.0485325000000000e+01;1.2239971000000001e+01;1.3559320000000000e+01;1.5564670000000000e+01;1.7535117000000000e+01;1.9835469000000000e+01;2.2082073000000001e+01;2.4274398999999999e+01;2.6409576000000001e+01;2.8488696999999998e+01;3.0514762999999999e+01;3.0853390000000001e+01;3.2499028000000003e+01;3.4028312999999997e+01;1.8953284000000000e+01;2.0767035000000000e+01;2.2646860000000000e+01;2.4490976000000000e+01;2.6298539999999999e+01;2.8068883000000000e+01;2.9802430000000001e+01;3.1499751000000000e+01;3.3161194000000002e+01;3.4787309000000000e+01;3.6378704999999997e+01;3.7935780999999999e+01;3.9458750999999999e+01;4.0947946999999999e+01;4.2968504000000003e+01;4.4908293000000000e+01;4.6779262000000003e+01;4.8582794000000000e+01;5.0320033000000002e+01;5.1994360000000000e+01;5.3609611000000001e+01;5.5167786999999997e+01;5.6670366000000001e+01;5.8118760000000002e+01;5.9514623999999998e+01;6.0859940000000002e+01;6.2156739999999999e+01;6.3406843000000002e+01;6.4611818999999997e+01;6.5773122999999998e+01;6.6892246999999998e+01;6.7970686999999998e+01;6.9009896999999995e+01;7.0011268000000001e+01;7.0092466999999999e+01
1.0256194995831640e+02;2.3569876342799532e-02;2.4334266176210662e-01;1.1726079817929330e-01;4.4716891163226050e-06;4.5045916647569891e-09;1.8945378072052175e-04;9.5547499999999996e-01;1.9780810000000000e+00;2.9681039999999999e+00;3.9456300000000000e+00;4.9253229999999997e+00;5.9098670000000002e+00;6.8907689999999997e+00;7.8579249999999998e+00;8.8084159999999994e+00;9.7464420000000000e+00;1.0677402000000001e+01;1.1603391000000000e+01;1.2523014000000000e+01;1.3433755000000000e+01;1.4334201000000000e+01;1.5429634000000000e+01;1.6512046999999999e+01;1.7581354999999999e+01;1.8637606999999999e+01;1.9681761000000002e+01;2.0714390999999999e+01;2.1735295000000001e+01;2.2744282999999999e+01;2.3741512000000000e+01;2.4727179000000000e+01;2.4853217000000001e+01;6.2163040000000001e+00;7.1776059999999999e+00;7.9048100000000003e+00;9.1487970000000001e+00;1.0378036000000000e+01;1.1592608000000000e+01;1.2792213000000000e+01;1.3976858000000000e+01;1.5146799000000000e+01;1.6447202000000001e+01;1.7729718999999999e+01;1.7951297000000000e+01;1.8768142999999998e+01;1.9536262000000001e+01;1.0333860000000000e+01;1.1125678000000001e+01;1.1943336000000000e+01;1.2754182000000000e+01;1.3558909999999999e+01;1.4357689000000001e+01;1.5150496000000000e+01;1.5937277999999999e+01;1.6752967000000002e+01;1.7562639999999998e+01;1.8366159000000000e+01;1.9162963000000001e+01;1.9953014000000000e+01;2.0736449000000000e+01;2.1513238999999999e+01;2.2283470000000001e+01;2.3047374999999999e+01;2.3805081999999999e+01;2.4556532000000001e+01;2.5301659000000001e+01;2.6040527000000001e+01;2.6773267000000001e+01;2.7499960000000002e+01;2.8220638000000001e+01;2.8935319000000000e+01;2.9644027000000001e+01;3.0346793999999999e+01;3.1043658000000001e+01;3.1734663999999999e+01;3.2419851999999999e+01;3.3099252999999997e+01;3.3772894999999998e+01;3.4440809000000002e+01;3.5103031000000001e+01;3.5160117000000000e+01
1.0434627901786605e+02;2.2985573390655715e-02;3.3081695221797414e-01;3.5822106797427165e-02;4.9471718465629724e-06;5.5936719946778430e-09;1.0090866326896912e-03;2.3025220000000002e+00;4.7809520000000001e+00;7.1263110000000003e+00;9.3977070000000005e+00;1.1649573999999999e+01;1.3884843000000000e+01;1.6521766000000000e+01;1.9071923999999999e+01;2.1547338000000000e+01;2.3949407999999998e+01;2.6280431000000000e+01;2.8542653999999999e+01;3.0738287000000000e+01;3.2869205000000001e+01;3.4937137000000000e+01;3.6943773000000000e+01;3.8890956000000003e+01;4.0780555000000000e+01;4.2614311999999998e+01;4.4536921999999997e+01;4.6344684999999998e+01;4.8095109999999998e+01;4.9790869000000001e+01;5.1435232999999997e+01;5.3029362999999996e+01;5.3236041000000000e+01;1.0871753999999999e+01;1.2937824000000001e+01;1.4529612000000000e+01;1.6963245000000001e+01;1.9352771000000001e+01;2.2247150999999999e+01;2.5059459000000000e+01;2.7791999000000001e+01;3.0442754999999998e+01;3.3012174999999999e+01;3.5503850000000000e+01;3.5917164000000000e+01;3.7234012999999997e+01;3.8456735000000002e+01;2.1519732000000001e+01;2.3021158000000000e+01;2.4559113000000000e+01;2.6067429000000001e+01;2.7546544999999998e+01;2.8997071999999999e+01;3.0419633000000001e+01;3.1814764000000000e+01;3.3182994000000001e+01;3.4524861000000001e+01;3.5840885999999998e+01;3.7131563000000000e+01;3.8397385000000000e+01;3.9638846000000001e+01;4.0856431000000001e+01;4.2050606999999999e+01;4.3221829000000000e+01;4.4370547000000002e+01;4.5497202000000001e+01;4.6591665999999996e+01;4.7626716000000002e+01;4.8642297999999997e+01;4.9639042000000003e+01;5.0618257999999997e+01;5.1580114999999999e+01;5.2524462000000000e+01;5.3451490999999997e+01;5.4361727000000002e+01;5.5255597000000002e+01;5.6133336000000000e+01;5.6995170000000002e+01;5.7841411999999998e+01;5.8672387999999998e+01;5.9488371000000001e+01;5.9562697000000000e+01
1.1256733422163737e+02;2.2743490727115016e-02;3.9337745070413110e-01;5.6671836945096976e-02;6.5140003770921358e-06;4.4719589597676427e-09;8.5997134686120942e-04;1.6489640000000001e+00;3.3837950000000001e+00;5.0289910000000004e+00;6.6368039999999997e+00;8.2486529999999991e+00;9.8739640000000009e+00;1.1493410000000001e+01;1.3082575000000000e+01;1.4632584000000000e+01;1.6151284000000000e+01;1.8112779000000000e+01;2.0044858999999999e+01;2.1945495999999999e+01;2.3810168000000001e+01;2.5639137999999999e+01;2.7435473000000002e+01;2.9200628999999999e+01;3.0934863000000000e+01;3.2638435000000001e+01;3.4311324999999997e+01;3.5953383000000002e+01;3.7564971000000000e+01;3.9871412999999997e+01;4.2121823999999997e+01;4.4309871000000001e+01;4.4575026000000001e+01;8.6817600000000006e+00;1.0192228000000000e+01;1.1331337000000000e+01;1.3116595000000000e+01;1.4880395000000000e+01;1.6626933000000001e+01;1.8693859000000000e+01;2.0730208000000001e+01;2.2732206999999999e+01;2.4694465999999998e+01;2.6617138000000001e+01;2.6942259000000000e+01;2.8460874000000000e+01;2.9883115000000000e+01;1.6169080999999998e+01;1.7699946000000001e+01;1.9291696000000002e+01;2.0862658000000000e+01;2.2413292999999999e+01;2.3943282000000000e+01;2.5452863000000001e+01;2.6942295999999999e+01;2.8411465000000000e+01;2.9860327000000002e+01;3.1289083000000002e+01;3.2697978999999997e+01;3.4087116999999999e+01;3.5456547999999998e+01;3.6806353000000001e+01;3.8136673000000002e+01;3.9447654999999997e+01;4.1162273999999996e+01;4.2811404000000003e+01;4.4420799000000002e+01;4.5992199999999997e+01;4.7528095999999998e+01;4.9028637000000003e+01;5.0494002000000002e+01;5.1925204000000001e+01;5.3323497000000003e+01;5.4689703999999999e+01;5.6024307999999998e+01;5.7327917999999997e+01;5.8601362000000002e+01;5.9845460000000003e+01;6.1060870000000001e+01;6.2248176999999998e+01;6.3408011000000002e+01;6.3510409000000003e+01
9.8667799054953576e+01;2.3572410189245881e-02;3.3241638798924383e-01;5.4872454943880766e-02;3.4939890883810866e-06;3.9787303962248483e-09;1.0141580778197179e-03;2.0889069999999998e+00;4.2288569999999996e+00;6.2233479999999997e+00;8.1706509999999994e+00;1.0138741000000000e+01;1.2155457999999999e+01;1.4101791000000000e+01;1.6299136000000001e+01;1.8468394000000000e+01;2.0608097999999998e+01;2.2705324000000001e+01;2.4749601999999999e+01;2.6738059000000000e+01;2.8675661999999999e+01;3.0569897000000001e+01;3.2424655000000001e+01;3.4238565000000001e+01;3.6008521000000002e+01;3.7733468999999999e+01;3.9415019000000001e+01;4.1498483000000000e+01;4.3500613999999999e+01;4.5432429999999997e+01;4.7297016999999997e+01;4.9096665000000002e+01;4.9317033000000002e+01;1.0130413000000001e+01;1.2304955000000000e+01;1.3705602000000001e+01;1.5812893000000001e+01;1.7873737999999999e+01;2.0088405999999999e+01;2.2268401000000001e+01;2.4403784000000002e+01;2.6486664000000001e+01;2.8516670999999999e+01;3.0496777000000002e+01;3.0827957999999999e+01;3.2304363000000002e+01;3.3664285999999997e+01;1.8669803999999999e+01;2.0312622999999999e+01;2.1996516000000000e+01;2.3644804000000001e+01;2.5257902000000001e+01;2.6836306000000000e+01;2.8380630000000000e+01;2.9891463000000002e+01;3.1369433999999998e+01;3.2815164000000003e+01;3.4229325000000003e+01;3.5612594000000001e+01;3.6965634000000001e+01;3.8289068999999998e+01;3.9583492000000000e+01;4.0849542999999997e+01;4.2087848999999999e+01;4.3299016000000002e+01;4.4483648000000002e+01;4.5642336999999998e+01;4.6762597999999997e+01;4.7835273000000001e+01;4.8884900000000002e+01;4.9912267999999997e+01;5.0918588000000000e+01;5.1904130000000002e+01;5.2868932000000001e+01;5.3813355000000001e+01;5.4738042999999998e+01;5.5643529999999998e+01;5.6530152999999999e+01;5.7398232000000000e+01;5.8248165000000000e+01;5.9080382999999998e+01;5.9156021000000003e+01
