"$\alpha$";"$\beta$";"$\epsilon_e$";"$\epsilon_c$";"$d_{p}$";"$\Gamma_{p}(0)$";"$a_v$";"$\tau_c(0, 8, BC)$";"$\tau_c(250, 8, BC)$";"$\tau_c(500, 8, BC)$";"$\tau_c(750, 8, BC)$";"$\tau_c(1000, 8, BC)$";"$\tau_c(1250, 8, BC)$";"$\tau_c(1500, 8, BC)$";"$\tau_c(1750, 8, BC)$";"$\tau_c(2000, 8, BC)$";"$\tau_c(2250, 8, BC)$";"$\tau_c(2500, 8, BC)$";"$\tau_c(2750, 8, BC)$";"$\tau_c(3000, 8, BC)$";"$\tau_c(3250, 8, BC)$";"$\tau_c(3500, 8, BC)$";"$\tau_c(3750, 8, BC)$";"$\tau_c(4000, 8, BC)$";"$\tau_c(4250, 8, BC)$";"$\tau_c(4500, 8, BC)$";"$\tau_c(4750, 8, BC)$";"$\tau_c(5000, 8, BC)$";"$\tau_c(5250, 8, BC)$";"$\tau_c(5500, 8, BC)$";"$\tau_c(5750, 8, BC)$";"$\tau_c(6000, 8, BC)$";"$\tau_c(6250, 8, BC)$";"$\tau_c(6500, 8, BC)$";"$\tau_c(6750, 8, BC)$";"$\tau_c(7000, 8, BC)$";"$\tau_c(7250, 8, BC)$";"$\tau_c(7500, 8, BC)$";"$\tau_c(7750, 8, BC)$";"$\tau_c(8000, 8, BC)$";"$\tau_c(8250, 8, BC)$";"$\tau_c(8500, 8, BC)$";"$\tau_c(8750, 8, BC)$";"$\tau_c(9000, 8, BC)$";"$\tau_c(9250, 8, BC)$";"$\tau_c(9500, 8, BC)$";"$\tau_c(9750, 8, BC)$";"$\tau_c(10000, 8, BC)$";"$\tau_c(10250, 8, BC)$";"$\tau_c(10500, 8, BC)$";"$\tau_c(10750, 8, BC)$";"$\tau_c(11000, 8, BC)$";"$\tau_c(11250, 8, BC)$";"$\tau_c(11500, 8, BC)$";"$\tau_c(11750, 8, BC)$";"$\tau_c(12000, 8, BC)$";"$\tau_c(12250, 8, BC)$";"$\tau_c(12500, 8, BC)$";"$\tau_c(12750, 8, BC)$";"$\tau_c(13000, 8, BC)$";"$\tau_c(13250, 8, BC)$";"$\tau_c(13500, 8, BC)$";"$\tau_c(13750, 8, BC)$";"$\tau_c(14000, 8, BC)$";"$\tau_c(14250, 8, BC)$";"$\tau_c(14500, 8, BC)$";"$\tau_c(14750, 8, BC)$";"$\tau_c(15000, 8, BC)$";"$\tau_c(15250, 8, BC)$";"$\tau_c(15500, 8, BC)$";"$\tau_c(15750, 8, BC)$";"$\tau_c(16000, 8, BC)$";"$\tau_c(16250, 8, BC)$";"$\tau_c(16500, 8, BC)$";"$\tau_c(16750, 8, BC)$";"$\tau_c(17000, 8, BC)$";"$\tau_c(17250, 8, BC)$";"$\tau_c(17500, 8, BC)$";"$\tau_c(17750, 8, BC)$";"$\tau_c(18000, 8, BC)$";"$\tau_c(18250, 8, BC)$";"$\tau_c(18500, 8, BC)$"
9.5951685959271629e+01;2.2824406058363306e-02;3.0931200541105103e-01;1.3779800758593755e-01;6.4904427602169724e-06;2.7935118884378745e-09;7.1968263601705361e-04;2.1907760000000001e+00;4.6453369999999996e+00;7.0855329999999999e+00;9.4459920000000004e+00;1.1730976999999999e+01;1.3964935000000001e+01;1.6145015999999998e+01;1.8263669000000000e+01;2.0326256999999998e+01;2.2339547000000000e+01;2.4302659999999999e+01;2.6212731999999999e+01;2.8070473000000000e+01;2.9878582999999999e+01;3.1638971000000002e+01;3.3235683000000002e+01;3.4810679999999998e+01;3.6351219999999998e+01;3.7856029999999997e+01;3.9335282999999997e+01;4.0787793000000001e+01;4.2208703000000000e+01;4.3597507000000000e+01;4.4956439000000003e+01;4.6286036000000003e+01;4.6447704000000002e+01;1.2958095999999999e+01;1.5038888999999999e+01;1.6584323000000001e+01;1.9108104999999998e+01;2.1558924000000001e+01;2.3928535000000000e+01;2.6219177999999999e+01;2.8437605999999999e+01;3.0586791000000002e+01;3.2519602999999996e+01;3.4408765000000002e+01;3.4726025000000000e+01;3.6148968000000004e+01;3.7478287999999999e+01;2.1214782000000000e+01;2.2890153000000002e+01;2.4588626999999999e+01;2.6242131000000001e+01;2.7857133999999999e+01;2.9435168999999998e+01;3.0975518999999998e+01;3.2342084999999997e+01;3.3702337999999997e+01;3.5039667000000001e+01;3.6354878999999997e+01;3.7654170999999998e+01;3.8936025999999998e+01;4.0196572000000003e+01;4.1435608000000002e+01;4.2654448000000002e+01;4.3852893999999999e+01;4.5030002000000003e+01;4.6185614999999999e+01;4.7320093999999997e+01;4.8433528000000003e+01;4.9525787999999999e+01;5.0596905000000000e+01;5.1647077000000003e+01;5.2676485999999997e+01;5.3685271999999998e+01;5.4673609999999996e+01;5.5641725000000001e+01;5.6589848000000003e+01;5.7518211999999998e+01;5.8427059000000000e+01;5.9316653000000002e+01;6.0187264999999996e+01;6.0941687000000002e+01;6.1006901999999997e+01
9.9417445560410641e+01;2.3833450305272275e-02;2.8503926077286179e-01;2.6932307801148525e-02;2.8282425450264028e-06;4.6761444079706674e-09;8.1901460990158504e-04;4.0465479999999996e+00;8.6933779999999992e+00;1.3240671000000001e+01;1.7405718000000000e+01;2.1443828000000000e+01;2.5269880000000001e+01;2.8937304000000001e+01;3.2455246000000002e+01;3.4977485000000001e+01;3.7412173000000003e+01;3.9756905000000003e+01;4.2015680000000003e+01;4.4194150000000000e+01;4.6294123999999996e+01;4.8316358000000001e+01;5.0263292999999997e+01;5.2137945999999999e+01;5.3942639999999997e+01;5.5679402000000003e+01;5.7350560999999999e+01;5.8958544000000003e+01;6.0505583999999999e+01;6.1208874999999999e+01;6.1890577999999998e+01;6.2558914000000001e+01;6.2646141999999998e+01;1.4793089999999999e+01;1.9006665999999999e+01;2.1903143000000000e+01;2.6074331000000001e+01;3.0017797000000002e+01;3.3244720000000001e+01;3.6366202999999999e+01;3.9347088999999997e+01;4.2185955000000000e+01;4.4907331999999997e+01;4.7519365000000001e+01;4.7941640000000000e+01;4.9380035999999997e+01;5.0704760999999998e+01;3.0060551000000000e+01;3.1958387999999999e+01;3.3806736000000001e+01;3.5602338000000003e+01;3.7346916000000000e+01;3.9042273999999999e+01;4.0690004000000002e+01;4.2291263000000001e+01;4.3847335000000001e+01;4.5359630000000003e+01;4.6829462999999997e+01;4.8258015000000000e+01;4.9646458000000003e+01;5.0995973999999997e+01;5.2307704000000001e+01;5.3582726000000001e+01;5.4822091999999998e+01;5.6026834999999998e+01;5.7197958000000000e+01;5.8336424999999998e+01;5.9443173999999999e+01;6.0519115999999997e+01;6.1007778999999999e+01;6.1483466999999997e+01;6.1958824999999997e+01;6.2421146999999998e+01;6.2877555999999998e+01;6.3328082999999999e+01;6.3772669000000000e+01;6.4211263000000002e+01;6.4644080000000002e+01;6.5071270999999996e+01;6.5492886999999996e+01;6.5908956000000003e+01;6.5946957999999995e+01
1.0728907683296805e+02;2.2535605600045267e-02;3.9318810757706379e-01;1.5572605937528120e-01;6.7330036983576277e-06;3.7280963654460392e-09;5.5571141555625181e-04;2.4066770000000002e+00;5.0735460000000003e+00;7.7154980000000002e+00;1.0287091999999999e+01;1.2786108000000000e+01;1.5227848000000000e+01;1.7612103000000001e+01;1.9934764999999999e+01;2.2199294999999999e+01;2.4410326999999999e+01;2.6567717999999999e+01;2.8669732000000000e+01;3.0716843000000001e+01;3.2602898000000003e+01;3.4465639000000003e+01;3.6289084000000003e+01;3.8070689999999999e+01;3.9823337000000002e+01;4.1545974000000001e+01;4.3232283000000002e+01;4.4881146999999999e+01;4.6495190999999998e+01;4.8075200000000002e+01;4.9620201000000002e+01;5.1129975999999999e+01;5.1312415000000001e+01;1.2975732000000001e+01;1.5295743000000000e+01;1.7019677000000001e+01;1.9849025999999999e+01;2.2599402999999999e+01;2.5261634999999998e+01;2.7837240000000001e+01;3.0333404000000002e+01;3.2597836000000001e+01;3.4813364000000000e+01;3.6967382000000001e+01;3.7327627999999997e+01;3.8937809999999999e+01;4.0440533000000002e+01;2.2761240000000001e+01;2.4629262000000001e+01;2.6528746000000002e+01;2.8387627999999999e+01;3.0198831999999999e+01;3.1838830999999999e+01;3.3464984999999999e+01;3.5062553000000001e+01;3.6631720000000001e+01;3.8178398999999999e+01;3.9701765000000002e+01;4.1198597999999997e+01;4.2668720999999998e+01;4.4113410999999999e+01;4.5532733999999998e+01;4.6926054999999998e+01;4.8293346000000000e+01;4.9635021000000002e+01;5.0951287999999998e+01;5.2242162000000000e+01;5.3507778000000002e+01;5.4748412000000002e+01;5.5964333000000003e+01;5.7155771000000001e+01;5.8322978999999997e+01;5.9466250000000002e+01;6.0585887000000000e+01;6.1646129000000002e+01;6.2685465999999998e+01;6.3700743000000003e+01;6.4688253000000003e+01;6.5653327000000004e+01;6.6598971000000006e+01;6.7523915000000002e+01;6.7602590000000006e+01
1.0259790216748128e+02;2.2612850112094011e-02;2.7233140804558076e-01;1.2199544643393476e-01;7.0925941809734790e-06;5.4602479554952464e-09;2.4987333020112410e-04;1.8671420000000001e+00;3.9151729999999998e+00;5.9362719999999998e+00;7.9188280000000004e+00;9.8591370000000005e+00;1.1760294999999999e+01;1.3623357000000000e+01;1.5448048999999999e+01;1.7235393999999999e+01;1.8986815000000000e+01;2.0702694999999999e+01;2.2382868999999999e+01;2.4027629999999998e+01;2.5637803999999999e+01;2.7214289000000001e+01;2.8757809000000002e+01;3.0268944000000001e+01;3.1587181999999999e+01;3.2895989999999998e+01;3.4183886000000001e+01;3.5447578999999998e+01;3.6696143999999997e+01;3.7929806999999997e+01;3.9144232000000002e+01;4.0338166000000001e+01;4.0487034000000001e+01;1.2128526000000001e+01;1.3854499000000001e+01;1.5143086000000000e+01;1.7356674999999999e+01;1.9519107000000002e+01;2.1624893000000000e+01;2.3674204000000000e+01;2.5671218000000000e+01;2.7618276000000002e+01;2.9515744999999999e+01;3.1364471000000002e+01;3.1680374000000000e+01;3.2804836000000002e+01;3.3855032000000001e+01;1.8759619000000001e+01;1.9925007000000001e+01;2.1120287999999999e+01;2.2306194999999999e+01;2.3485204000000000e+01;2.4655054000000000e+01;2.5813404999999999e+01;2.6960149000000001e+01;2.8095582000000000e+01;2.9219130000000000e+01;3.0330083999999999e+01;3.1428211999999998e+01;3.2513480999999999e+01;3.3585732999999998e+01;3.4644772000000003e+01;3.5690506999999997e+01;3.6722914000000003e+01;3.7741967000000002e+01;3.8747649000000003e+01;3.9739969000000002e+01;4.0718966999999999e+01;4.1684688999999999e+01;4.2637188999999999e+01;4.3576535000000000e+01;4.4502806999999997e+01;4.5416091000000002e+01;4.6360576000000002e+01;4.7309852999999997e+01;4.8244216000000002e+01;4.9154311999999997e+01;5.0054619000000002e+01;5.0950042000000003e+01;5.1834223000000001e+01;5.2702945000000000e+01;5.2772545000000001e+01
1.0324959729467423e+02;2.3124135058590494e-02;2.7236538171352964e-01;5.8771724235859885e-02;3.6466336950117360e-06;4.5419100202562119e-09;7.4176882906594205e-04;4.1637240000000002e+00;8.9460280000000001e+00;1.3649606000000000e+01;1.8008962000000000e+01;2.2127777999999999e+01;2.6127285000000001e+01;2.9916269000000000e+01;3.3529696999999999e+01;3.6262994999999997e+01;3.8906340999999998e+01;4.1446415000000002e+01;4.3896698999999998e+01;4.6266416999999997e+01;4.8552048999999997e+01;5.0751742999999998e+01;5.2868800000000000e+01;5.4906689999999998e+01;5.6866911999999999e+01;5.8751131000000001e+01;6.0562131999999998e+01;6.1444287000000003e+01;6.2277926999999998e+01;6.3092221000000002e+01;6.3889052000000000e+01;6.4669670999999994e+01;6.4771349000000001e+01;1.4752651000000000e+01;1.9331109000000001e+01;2.2328859000000001e+01;2.6708407000000001e+01;3.0867412999999999e+01;3.4229101000000000e+01;3.7467132999999997e+01;4.0563862999999998e+01;4.3523896999999998e+01;4.6365639000000002e+01;4.9091540000000002e+01;4.9531419999999997e+01;5.1214913000000003e+01;5.2744050000000001e+01;3.1271211000000001e+01;3.3436666000000002e+01;3.5526280999999997e+01;3.7550862000000002e+01;3.9512836999999998e+01;4.1414645000000000e+01;4.3258336999999997e+01;4.5045425999999999e+01;4.6777633000000002e+01;4.8456826000000000e+01;5.0084718000000002e+01;5.1662852000000001e+01;5.3192765000000001e+01;5.4676000999999999e+01;5.6114040000000003e+01;5.7508279999999999e+01;5.8860081999999998e+01;6.0170780999999998e+01;6.0801425999999999e+01;6.1397311000000002e+01;6.1983165999999997e+01;6.2560209000000000e+01;6.3129412000000002e+01;6.3690339000000002e+01;6.4242652000000007e+01;6.4786568000000003e+01;6.5322558999999998e+01;6.5850797000000000e+01;6.6371223999999998e+01;6.6883876999999998e+01;6.7388957000000005e+01;6.7886653999999993e+01;6.8377063000000007e+01;6.8860249999999994e+01;6.8904342999999997e+01
9.4835710107195609e+01;2.3019687867574072e-02;4.6011731631253683e-01;2.8309673603833602e-02;1.6474115856168747e-06;3.2515188019880033e-09;7.6660718569885439e-04;2.3065430000000000e+00;4.7672749999999997e+00;6.9294260000000003e+00;9.0442400000000003e+00;1.1112933000000000e+01;1.3128973000000000e+01;1.5093552000000001e+01;1.7012896999999999e+01;1.8888327000000000e+01;2.0718554000000001e+01;2.2504003000000001e+01;2.4246365999999998e+01;2.5946632999999999e+01;2.7605437999999999e+01;2.9223856999999999e+01;3.0803056999999999e+01;3.1971478999999999e+01;3.3133834000000000e+01;3.4278136000000003e+01;3.5401761999999998e+01;3.6510401000000002e+01;3.7605407999999997e+01;3.8683573000000003e+01;3.9743796000000003e+01;4.0787503999999998e+01;4.0917247000000003e+01;1.2432383000000000e+01;1.4269276000000000e+01;1.5632961000000000e+01;1.7870462000000000e+01;2.0050325999999998e+01;2.2165545000000002e+01;2.4215793000000001e+01;2.6207355000000000e+01;2.8143173000000001e+01;3.0022749999999998e+01;3.1500623999999998e+01;3.1752825999999999e+01;3.2762259999999998e+01;3.3703679000000001e+01;1.8852914999999999e+01;2.0169097000000001e+01;2.1508489000000001e+01;2.2825690000000002e+01;2.4123909999999999e+01;2.5398558000000001e+01;2.6648548000000002e+01;2.7876933000000001e+01;2.9085028000000001e+01;3.0271964000000001e+01;3.1295605999999999e+01;3.2312984000000000e+01;3.3316406000000001e+01;3.4302945999999999e+01;3.5276474000000000e+01;3.6238841000000001e+01;3.7188107000000002e+01;3.8123232999999999e+01;3.9045177000000002e+01;3.9954630999999999e+01;4.0851232000000003e+01;4.1734727999999997e+01;4.2605440000000002e+01;4.3463661999999999e+01;4.4309379000000000e+01;4.5142569000000002e+01;4.5963396000000003e+01;4.6772052000000002e+01;4.7568635999999998e+01;4.8353228000000001e+01;4.9125954999999998e+01;4.9886960000000002e+01;5.0636367999999997e+01;5.1374298000000003e+01;5.1434699999999999e+01
1.0352855775095031e+02;2.3305511884862296e-02;3.6804104366895396e-01;9.9739191417432094e-02;1.9693044860655090e-06;4.0193661869798922e-09;8.0446710609279504e-04;3.6229239999999998e+00;7.5006860000000000e+00;1.0792116999999999e+01;1.3987263000000000e+01;1.7087143000000001e+01;2.0082991000000000e+01;2.2975154000000000e+01;2.5774740000000001e+01;2.8485265999999999e+01;3.1105492000000002e+01;3.3076732999999997e+01;3.5025233000000000e+01;3.6929212000000000e+01;3.8784636999999996e+01;4.0602277999999998e+01;4.2384549999999997e+01;4.4125667999999997e+01;4.5823897000000002e+01;4.7482052000000003e+01;4.9101495000000000e+01;5.0681306999999997e+01;5.2221319000000001e+01;5.3722622999999999e+01;5.5186010000000003e+01;5.6611632000000000e+01;5.6781151999999999e+01;1.3773396000000000e+01;1.6689001000000001e+01;1.8835657999999999e+01;2.2168296999999999e+01;2.5385742000000000e+01;2.8476006999999999e+01;3.1440111000000002e+01;3.3774388999999999e+01;3.6063192999999998e+01;3.8283472000000003e+01;4.0429895999999999e+01;4.0786355999999998e+01;4.2404943000000003e+01;4.3905211999999999e+01;2.5156305000000000e+01;2.7195492000000002e+01;2.9261303999999999e+01;3.1278904000000001e+01;3.3122622999999997e+01;3.4933931000000001e+01;3.6702173000000002e+01;3.8427778000000004e+01;4.0117010999999998e+01;4.1770851000000000e+01;4.3386705999999997e+01;4.4964624000000001e+01;4.6506571999999998e+01;4.8013362000000001e+01;4.9484780999999998e+01;5.0921211999999997e+01;5.2323619000000001e+01;5.3692670999999997e+01;5.5028709999999997e+01;5.6332216000000003e+01;5.7603873000000000e+01;5.8844321000000001e+01;6.0054093999999999e+01;6.0740530999999997e+01;6.1417043999999997e+01;6.2080810000000000e+01;6.2735646000000003e+01;6.3381439000000000e+01;6.4016574000000006e+01;6.4641244999999998e+01;6.5256512000000001e+01;6.5862650000000002e+01;6.6459265000000002e+01;6.7046218999999994e+01;6.7096945000000005e+01
9.8344029047460140e+01;2.3357443054698238e-02;3.9196739666502911e-01;1.2535741112482446e-01;6.2840186305487057e-06;3.6427994279669770e-09;9.8891198583827894e-04;3.0828199999999999e+00;6.5431080000000001e+00;9.9701170000000001e+00;1.3247233000000000e+01;1.6387858000000001e+01;1.9437052000000001e+01;2.2387969999999999e+01;2.5226576999999999e+01;2.7963255000000000e+01;3.0610547000000000e+01;3.3164422000000002e+01;3.5656759000000001e+01;3.8067632000000003e+01;4.0397052000000002e+01;4.2661527000000000e+01;4.4858961999999998e+01;4.6982773000000002e+01;4.9033363999999999e+01;5.1014758000000000e+01;5.2928263000000001e+01;5.4773642000000002e+01;5.6552019999999999e+01;5.8265487999999998e+01;5.9915680999999999e+01;6.1503853999999997e+01;6.1687569000000003e+01;1.4823478000000000e+01;1.7814896000000001e+01;2.0018121000000001e+01;2.3390245000000000e+01;2.6634934999999999e+01;2.9739623999999999e+01;3.2709651000000001e+01;3.5503537000000001e+01;3.8208934999999997e+01;4.0805549999999997e+01;4.3295079999999999e+01;4.3702601999999999e+01;4.5779425000000003e+01;4.7685668000000000e+01;2.7978135000000002e+01;3.0475753000000001e+01;3.2918325000000003e+01;3.5294165999999997e+01;3.7595832999999999e+01;3.9817265999999996e+01;4.1964913000000003e+01;4.4044687000000003e+01;4.6056583000000003e+01;4.8000416000000001e+01;4.9878630999999999e+01;5.1693913999999999e+01;5.3447656000000002e+01;5.5141019999999997e+01;5.6775737999999997e+01;5.8353672000000003e+01;5.9876396000000000e+01;6.1345365000000001e+01;6.2097641000000003e+01;6.2783943999999998e+01;6.3454090000000001e+01;6.4109994000000000e+01;6.4753654999999995e+01;6.5384377999999998e+01;6.6001605999999995e+01;6.6605767999999998e+01;6.7197719000000006e+01;6.7777831000000006e+01;6.8346091000000001e+01;6.8902631999999997e+01;6.9447828000000001e+01;6.9982040999999995e+01;7.0505488999999997e+01;7.1018350999999996e+01;7.1064965999999998e+01
9.8303161687252924e+01;2.3649868191919339e-02;3.0665840779417264e-01;1.3883616868594326e-01;4.5866814712615603e-06;4.5299597289692699e-09;8.4495658591140750e-04;4.4858729999999998e+00;9.5835580000000000e+00;1.4567500000000001e+01;1.9176807000000000e+01;2.3505773999999999e+01;2.7673171000000000e+01;3.1639011000000000e+01;3.5089619999999996e+01;3.8402946000000000e+01;4.1568272000000000e+01;4.4593009000000002e+01;4.7490696999999997e+01;5.0257868999999999e+01;5.2892024999999997e+01;5.5398519000000000e+01;5.7784450999999997e+01;6.0053328999999998e+01;6.1402169000000001e+01;6.2670247000000003e+01;6.3889902999999997e+01;6.5064552000000006e+01;6.6197490000000002e+01;6.7289439000000002e+01;6.8341114000000005e+01;6.9354196999999999e+01;6.9483519999999999e+01;1.6074417000000000e+01;2.0452041999999999e+01;2.3621348000000001e+01;2.8260238000000001e+01;3.2654794000000003e+01;3.6515174999999999e+01;4.0184013000000000e+01;4.3648434000000002e+01;4.6919089000000000e+01;5.0018624000000003e+01;5.2950400000000002e+01;5.3415883000000001e+01;5.5626438000000000e+01;5.7620665000000002e+01;3.5340442000000003e+01;3.8155526999999999e+01;4.0809545999999997e+01;4.3350349000000001e+01;4.5780751000000002e+01;4.8105817000000002e+01;5.0330421000000001e+01;5.2458052000000002e+01;5.4492002999999997e+01;5.6436262999999997e+01;5.8294775000000001e+01;6.0071140000000000e+01;6.0980414000000003e+01;6.1827030999999998e+01;6.2651994000000002e+01;6.3457715999999998e+01;6.4245671999999999e+01;6.5015219000000002e+01;6.5766227000000001e+01;6.6499449999999996e+01;6.7215794000000002e+01;6.7915610999999998e+01;6.8599028000000004e+01;6.9266401999999999e+01;6.9918261999999999e+01;7.0555045000000007e+01;7.1177055999999993e+01;7.1784602000000007e+01;7.2378054000000006e+01;7.2957781999999995e+01;7.3524113999999997e+01;7.4077354000000000e+01;7.4617812999999998e+01;7.5145807000000005e+01;7.5193759000000000e+01
1.0479598514057989e+02;2.3182488822093558e-02;4.3234541232279100e-01;6.3241385734689959e-02;5.3636726820077578e-06;2.8183509678599790e-09;7.8827444098594768e-04;2.7836930000000000e+00;5.9927830000000002e+00;9.1961980000000008e+00;1.2228764000000000e+01;1.5135070000000001e+01;1.7987936999999999e+01;2.0765000000000001e+01;2.3437801000000000e+01;2.6024381000000002e+01;2.8544414000000000e+01;3.0991906000000000e+01;3.3145232999999998e+01;3.5255583999999999e+01;3.7310724999999998e+01;3.9314203999999997e+01;4.1276550000000000e+01;4.3194605000000003e+01;4.5063626999999997e+01;4.6884346999999998e+01;4.8659429000000003e+01;5.0389127000000002e+01;5.2072811000000002e+01;5.3711058000000001e+01;5.5305019000000001e+01;5.6855314000000000e+01;5.7038454000000002e+01;1.3729224000000000e+01;1.6418792000000000e+01;1.8413557000000001e+01;2.1541208999999998e+01;2.4566894000000001e+01;2.7480716999999999e+01;3.0288817999999999e+01;3.2806719000000001e+01;3.5256428000000000e+01;3.7627110000000002e+01;3.9923220000000001e+01;4.0304352000000002e+01;4.2119875000000000e+01;4.3798549000000001e+01;2.5034694999999999e+01;2.7178504000000000e+01;2.9345677999999999e+01;3.1460335000000001e+01;3.3394615999999999e+01;3.5297629999999998e+01;3.7155358000000000e+01;3.8969900000000003e+01;4.0748227000000000e+01;4.2489964999999998e+01;4.4191862000000000e+01;4.5854151000000002e+01;4.7478603999999997e+01;4.9065416999999997e+01;5.0614004000000001e+01;5.2124608000000002e+01;5.3597920000000002e+01;5.5034328000000002e+01;5.6434130000000003e+01;5.7797756999999997e+01;5.9125771000000000e+01;6.0418858999999998e+01;6.1046785000000000e+01;6.1632117999999998e+01;6.2207585000000002e+01;6.2774633999999999e+01;6.3334369000000002e+01;6.3886113999999999e+01;6.4429471000000007e+01;6.4964743999999996e+01;6.5492458999999997e+01;6.6012748000000002e+01;6.6525505999999993e+01;6.7030783000000000e+01;6.7076848999999996e+01
9.7057463984421275e+01;2.3342331208722415e-02;2.3516365612240392e-01;7.8152925343119239e-02;7.0969668615811636e-06;4.5587339852709268e-09;7.7323027443229435e-04;2.3485360000000002e+00;4.9342790000000001e+00;7.4943350000000004e+00;9.9954599999999996e+00;1.2427498999999999e+01;1.4798311999999999e+01;1.7109800000000000e+01;1.9360524999999999e+01;2.1552636000000000e+01;2.3689211000000000e+01;2.5770537999999998e+01;2.7795586000000000e+01;2.9764609000000000e+01;3.1679244000000001e+01;3.3683359000000003e+01;3.5660490000000003e+01;3.7586385999999997e+01;3.9454658000000002e+01;4.1284111000000003e+01;4.3074776999999997e+01;4.4817928000000002e+01;4.6511543000000003e+01;4.8159233999999998e+01;4.9762512999999998e+01;5.1320394000000000e+01;5.1505398000000000e+01;1.3471049000000001e+01;1.5770994999999999e+01;1.7471696999999999e+01;2.0177227999999999e+01;2.2806201999999999e+01;2.5345262000000002e+01;2.7794134000000000e+01;3.0161681999999999e+01;3.2494154999999999e+01;3.4770023000000002e+01;3.6971632999999997e+01;3.7335838000000003e+01;3.9097538000000000e+01;4.0732711000000002e+01;2.3288582999999999e+01;2.5295045999999999e+01;2.7319585000000000e+01;2.9276077000000001e+01;3.1175156999999999e+01;3.2911596000000003e+01;3.4633057999999998e+01;3.6315035000000002e+01;3.7963779000000002e+01;3.9588783999999997e+01;4.1184893000000002e+01;4.2746153000000000e+01;4.4273394000000003e+01;4.5768692000000001e+01;4.7231360000000002e+01;4.8660089999999997e+01;5.0054982000000003e+01;5.1416693000000002e+01;5.2745424000000000e+01;5.4041181000000002e+01;5.5304226999999997e+01;5.6535023000000002e+01;5.7733916000000001e+01;5.8901240000000001e+01;6.0037458999999998e+01;6.0634720999999999e+01;6.1175570000000000e+01;6.1706161000000002e+01;6.2227871999999998e+01;6.2742429999999999e+01;6.3249158999999999e+01;6.3747404000000003e+01;6.4237396000000004e+01;6.4719758999999996e+01;6.4763763999999995e+01
9.5989472360365255e+01;2.3987086795022167e-02;2.6334224505506487e-01;1.6118249981782398e-01;7.3584777015613527e-06;2.3336099647993714e-09;6.5284010466949130e-04;1.8878910000000000e+00;3.9625439999999998e+00;6.0144900000000003e+00;8.0267929999999996e+00;9.9916830000000001e+00;1.1912080000000000e+01;1.3789680000000001e+01;1.5624841000000000e+01;1.7419176000000000e+01;1.9174406000000001e+01;2.0890770000000000e+01;2.2567820999999999e+01;2.4205791999999999e+01;2.5805752999999999e+01;2.7368950999999999e+01;2.8896366000000000e+01;3.0388694999999998e+01;3.1733796999999999e+01;3.3066059000000003e+01;3.4374383000000002e+01;3.5655318999999999e+01;3.6917375999999997e+01;3.8161003000000001e+01;3.9382294999999999e+01;4.0580089999999998e+01;4.0729343999999998e+01;1.2365769000000000e+01;1.4106738000000000e+01;1.5403753000000000e+01;1.7643775000000002e+01;1.9825648000000001e+01;2.1944723000000000e+01;2.4000961000000000e+01;2.5998564999999999e+01;2.7940366999999998e+01;2.9827304000000002e+01;3.1660501000000000e+01;3.1973590000000002e+01;3.3117193999999998e+01;3.4182955999999997e+01;1.9129735000000000e+01;2.0289649000000001e+01;2.1499127000000001e+01;2.2699705000000002e+01;2.3888220000000000e+01;2.5064264000000001e+01;2.6228145999999999e+01;2.7379207999999998e+01;2.8516544000000000e+01;2.9639783999999999e+01;3.0748837999999999e+01;3.1843516000000001e+01;3.2923580999999999e+01;3.3988902000000003e+01;3.5039431000000000e+01;3.6075136999999998e+01;3.7095995000000002e+01;3.8102015999999999e+01;3.9093240000000002e+01;4.0069724000000001e+01;4.1031531999999999e+01;4.1978746999999998e+01;4.2911464000000002e+01;4.3829790000000003e+01;4.4733837999999999e+01;4.5623731999999997e+01;4.6589247999999998e+01;4.7557917000000003e+01;4.8507348000000000e+01;4.9428691999999998e+01;5.0338366999999998e+01;5.1240820999999997e+01;5.2128898000000000e+01;5.2998719999999999e+01;5.3068174999999997e+01
